真偽,下部マージン,対角線
偽札,10.1,142.0
偽札,11.0,141.8
偽札, 7.2,140.2
偽札, 7.8,140.0
偽札, 8.2,140.1
偽札, 9.5,142.3
偽札,10.0,141.6
偽札,10.5,141.2
偽札,10.7,140.8
偽札, 9.8,141.4
偽札,10.2,141.2
偽札,10.0,140.8
偽札,10.5,141.4
偽札, 9.7,142.3
偽札, 9.8,141.6
偽札, 9.7,139.8
偽札,11.0,139.5
偽札, 8.7,140.2
偽札, 9.9,140.3
偽札,11.8,139.7
偽札,10.6,139.9
偽札, 9.3,140.2
偽札, 9.8,139.9
偽札,10.0,139.4
偽札,10.4,140.3
偽札, 8.0,139.2
偽札,10.6,140.1
偽札, 9.7,140.6
偽札,11.4,139.9
偽札,10.6,139.7
偽札, 8.2,139.2
偽札,11.8,139.8
偽札,12.1,139.9
偽札,11.0,140.0
偽札,10.1,139.2
偽札,10.1,139.6
偽札,12.3,139.6
偽札,11.6,140.2
偽札,10.5,139.7
偽札, 9.9,140.1
偽札,10.2,139.6
偽札, 9.4,140.2
偽札,10.2,140.0
偽札,10.1,140.3
偽札, 9.8,139.9
偽札,10.7,139.8
偽札,12.3,139.2
偽札,10.6,139.9
偽札,10.5,139.7
偽札,11.0,139.5
偽札,11.9,139.5
偽札,10.7,139.4
偽札, 9.3,138.3
偽札,11.3,139.8
偽札,11.8,139.6
偽札,10.0,139.3
偽札,10.2,139.2
偽札,11.2,139.9
偽札,10.6,139.9
偽札,11.4,139.3
偽札,11.9,139.8
偽札,11.4,139.9
偽札, 9.3,138.1
偽札,10.7,139.4
偽札, 9.9,139.4
偽札,11.9,139.8
偽札,11.9,139.0
偽札,10.4,139.3
偽札,12.1,139.4
偽札,11.0,139.5
偽札,11.6,139.7
偽札,10.3,139.5
偽札,11.3,139.2
偽札,12.5,139.3
偽札, 8.1,137.9
偽札, 7.4,138.4
偽札, 9.9,138.1
偽札,11.5,139.5
偽札,11.6,139.1
偽札,11.4,139.8
偽札,10.3,139.7
偽札,10.0,138.8
偽札, 9.6,138.6
偽札, 9.6,139.6
偽札,11.4,139.7
偽札, 8.7,137.8
偽札,12.0,139.6
偽札,11.8,139.4
偽札,10.4,139.2
偽札,11.4,139.6
偽札,11.9,139.0
偽札,11.6,139.7
偽札, 9.9,139.6
偽札,10.2,139.1
偽札, 8.2,137.8
偽札,11.4,139.1
偽札, 8.0,138.7
偽札,11.0,139.3
偽札,10.1,139.3
偽札,10.7,139.5
偽札,11.5,139.4
偽札, 8.0,138.5
偽札,11.4,139.2
偽札, 9.6,139.4
偽札,12.7,139.2
偽札,10.2,139.4
偽札, 8.8,138.6
偽札,10.8,139.2
偽札, 9.6,138.5
偽札,11.6,139.8
偽札, 9.9,139.6
偽札,10.3,139.7
偽札,10.6,140.0
偽札,11.2,139.4
偽札,10.2,139.6
真札, 9.0,141.0
真札, 8.1,141.7
真札, 8.7,142.2
真札, 7.5,142.0
真札,10.4,141.8
真札, 9.0,141.4
真札, 7.9,141.6
真札, 7.2,141.7
真札, 8.2,141.9
真札, 9.2,140.7
真札, 7.9,141.8
真札, 7.7,142.2
真札, 7.9,141.4
真札, 7.7,141.7
真札, 7.7,141.8
真札, 9.3,141.6
真札, 8.2,141.7
真札, 9.0,141.9
真札, 7.4,141.5
真札, 8.6,141.9
真札, 8.4,141.4
真札, 8.1,141.6
真札, 8.4,141.5
真札, 8.7,141.6
真札, 7.4,141.1
真札, 8.0,142.3
真札, 8.9,142.4
真札, 9.8,141.9
真札, 7.4,141.8
真札, 8.3,142.0
真札, 7.9,141.8
真札, 8.6,142.3
真札, 7.7,140.7
真札, 8.4,141.0
真札, 8.9,141.4
真札, 9.4,141.8
真札, 8.4,141.8
真札, 7.9,142.0
真札, 8.5,142.1
真札, 8.1,141.3
真札, 8.9,142.3
真札, 8.8,140.9
真札, 9.3,141.7
真札, 9.0,140.9
真札, 8.2,141.0
真札, 8.3,141.8
真札, 8.3,141.5
真札, 7.3,142.0
真札, 7.9,141.1
真札, 7.8,142.0
真札, 7.2,141.3
真札, 9.5,141.1
真札, 7.8,140.9
真札, 7.6,141.6
真札, 7.9,141.4
真札, 9.2,142.0
真札, 9.2,141.2
真札, 8.8,141.1
真札, 7.9,141.3
真札, 8.2,141.4
真札, 8.3,141.6
真札, 7.5,141.5
真札, 8.0,141.5
真札, 8.0,141.4
真札, 8.6,141.5
真札, 8.8,140.8
真札, 7.7,141.3
真札, 9.1,141.5
真札, 8.6,141.8
真札, 8.0,139.6
真札, 8.4,140.9
真札, 8.2,141.4
真札, 8.7,141.2
真札, 7.5,141.8
真札, 7.2,142.1
真札, 7.6,141.7
真札, 8.8,141.2
真札, 7.4,141.0
真札, 7.9,140.9
真札, 7.9,141.8
真札, 8.6,140.6
真札, 7.5,141.0
真札, 9.0,141.9
真札, 7.9,141.3
真札, 9.0,141.2
真札, 8.9,141.5
真札, 8.7,141.6
真札, 8.4,142.1
真札, 7.4,141.5
真札, 8.0,142.0
真札, 8.6,141.6
真札, 8.5,141.4
真札, 8.2,141.5
真札, 7.4,141.5
真札, 8.3,142.0
真札, 9.0,141.7
真札, 9.1,141.1
真札, 8.0,141.2
真札, 9.1,141.5
真札, 7.8,141.2
