cakeの種類,高級感,甘さ,新奇性,濃厚さ,食感,華やかさ,値段,購入意思
cake01,2,3,1,3,4,5,280,1
cake02,4,2,4,2,5,4,280,1
cake03,4,4,1,4,2,4,260,0
cake04,3,5,1,5,4,2,280,0
cake05,4,4,1,4,2,3,300,0
cake06,3,4,2,5,2,1,300,0
cake07,3,3,3,3,3,3,100,0
cake08,2,4,1,3,4,1,280,0
cake09,2,4,2,4,4,1,280,0
cake10,5,4,5,4,3,5,300,1
cake11,2,5,4,4,2,3,300,0
cake12,4,3,4,4,3,4,320,1
cake13,4,4,1,4,3,3,280,0
cake14,5,4,3,4,3,5,360,1
cake15,3,4,1,4,2,3,400,0
cake16,4,3,1,4,2,3,400,0
cake17,2,4,1,4,2,2,400,0
cake18,5,3,2,3,2,5,380,1
cake19,5,3,4,3,3,4,320,0
cake20,5,3,5,3,3,3,320,1
cake21,1,2,2,2,2,2,350,0
cake22,2,2,1,1,2,1,160,0
cake23,5,4,5,3,3,5,330,1
cake24,5,4,5,3,3,4,330,1
cake25,3,5,1,5,5,1,110,0
cake26,4,5,2,5,5,1,120,0
cake27,1,4,4,4,3,4,110,1
cake28,1,4,4,4,3,4,110,1
cake29,1,5,4,4,3,4,110,0
cake30,2,3,1,3,2,3,120,0
cake31,2,3,3,3,2,3,120,0
cake32,4,2,3,3,4,2,300,0
cake33,5,1,4,2,2,5,360,1
cake34,5,4,5,4,3,5,320,1
cake35,3,4,3,3,3,2,300,0
