カクテル名,甘辛,飲時,グラス,甘辛A,甘辛B,甘辛C,甘辛D,甘辛E,飲時前,飲時後,飲時全,グラスS,グラスM,グラスm,グラスG
ミモザ,D,前,G,0,0,0,1,0,1,0,0,0,0,0,1
シャンパン・カクテル,E,前,G,0,0,0,0,1,1,0,0,0,0,0,1
ワイン・クーラー,C,全,G,0,0,1,0,0,0,0,1,0,0,0,1
スプリッツァー,E,全,G,0,0,0,0,1,0,0,1,0,0,0,1
シャンボール・ロワイヤル,C,前,G,0,0,1,0,0,1,0,0,0,0,0,1
ロゼ・ワイン・ダイキリ,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
プチ・プレリュード,C,前,M,0,0,1,0,0,1,0,0,0,1,0,0
キール・ロワイヤル,D,前,G,0,0,0,1,0,1,0,0,0,0,0,1
キール・インペリアル,D,全,G,0,0,0,1,0,0,0,1,0,0,0,1
キール,E,前,G,0,0,0,0,1,1,0,0,0,0,0,1
クラレット・パンチ,C,全,M,0,0,1,0,0,0,0,1,0,1,0,0
ベリーニ,C,全,G,0,0,1,0,0,0,0,1,0,0,0,1
バンブー,E,前,M,0,0,0,0,1,1,0,0,0,1,0,0
アメリカン・レモネード,D,全,G,0,0,0,1,0,0,0,1,0,0,0,1
アドニス,D,前,M,0,0,0,1,0,1,0,0,0,1,0,0
アブドゥーグ,D,全,G,0,0,0,1,0,0,0,1,0,0,0,1
雪国,B,全,S,0,1,0,0,0,0,0,1,1,0,0,0
ウォッカトニック,D,全,G,0,0,0,1,0,0,0,1,0,0,0,1
ウォッカ・リッキー,E,前,G,0,0,0,0,1,1,0,0,0,0,0,1
トキオ,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
スピリタス・ソーダ,E,全,G,0,0,0,0,1,0,0,1,0,0,0,1
スクリュードライバー,D,前,G,0,0,0,1,0,1,0,0,0,0,0,1
ソルティドック,D,前,G,0,0,0,1,0,1,0,0,0,0,0,1
ルシアン,D,後,S,0,0,0,1,0,0,1,0,1,0,0,0
モスコー・ミュール,D,全,G,0,0,0,1,0,0,0,1,0,0,0,1
キス・オブ・ファイヤー,B,後,S,0,1,0,0,0,0,1,0,1,0,0,0
カミカゼ,D,全,S,0,0,0,1,0,0,0,1,1,0,0,0
ハイライフ,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
ハーベー・ウォールバンガー,D,前,G,0,0,0,1,0,1,0,0,0,0,0,1
ガルフストリーム,B,全,S,0,1,0,0,0,0,0,1,1,0,0,0
ゴットマザー,B,後,G,0,1,0,0,0,0,1,0,0,0,0,1
レッド・バード,D,前,G,0,0,0,1,0,1,0,0,0,0,0,1
チチ,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
ブル・ショット,E,前,S,0,0,0,0,1,1,0,0,1,0,0,0
ブラッディ・メアリー,E,前,G,0,0,0,0,1,1,0,0,0,0,0,1
ブラディー・ブル1,E,前,G,0,0,0,0,1,1,0,0,0,0,0,1
ブラック・ルシアン,B,後,G,0,1,0,0,0,0,1,0,0,0,0,1
バラライカ,D,全,S,0,0,0,1,0,0,0,1,1,0,0,0
マイ東京,B,全,S,0,1,0,0,0,0,0,1,1,0,0,0
ウィスキーサワー,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
ウィスキーソーダ,D,全,G,0,0,0,1,0,0,0,1,0,0,0,1
ウイスキー・ミスト,E,全,G,0,0,0,0,1,0,0,1,0,0,0,1
ウィスキーフロート,D,全,G,0,0,0,1,0,0,0,1,0,0,0,1
スコッチ・キルト,C,全,M,0,0,1,0,0,0,0,1,0,1,0,0
ラスティ・ネール,A,後,G,1,0,0,0,0,0,1,0,0,0,0,1
ロブロイ,D,前,M,0,0,0,1,0,1,0,0,0,1,0,0
オールド・パル,D,前,M,0,0,0,1,0,1,0,0,0,1,0,0
オールドファッションド,E,後,G,0,0,0,0,1,0,1,0,0,0,0,1
ニューヨーク,D,全,S,0,0,0,1,0,0,0,1,1,0,0,0
ミント・ジュレップ,D,全,G,0,0,0,1,0,0,0,1,0,0,0,1
マイアミ・ビーチ,D,全,S,0,0,0,1,0,0,0,1,1,0,0,0
マンハッタン,D,前,M,0,0,0,1,0,1,0,0,0,1,0,0
キングス・バレイ,D,全,S,0,0,0,1,0,0,0,1,1,0,0,0
アイリッシュ・コーヒー,B,後,G,0,1,0,0,0,0,1,0,0,0,0,1
ハンター,B,全,M,0,1,0,0,0,0,0,1,0,1,0,0
ホット・ウイスキー・トディー,D,全,G,0,0,0,1,0,0,0,1,0,0,0,1
ホール・イン・ワン,D,全,S,0,0,0,1,0,0,0,1,1,0,0,0
ハイボール,C,後,G,0,0,1,0,0,0,1,0,0,0,0,1
ゴットファザー,B,後,G,0,1,0,0,0,0,1,0,0,0,0,1
フレンチ95,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
ドライ・マンハッタン,E,前,M,0,0,0,0,1,1,0,0,0,1,0,0
カルフォルニア・レモネード,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
ブルックリン,D,全,M,0,0,0,1,0,0,0,1,0,1,0,0
バーボネラ,C,全,M,0,0,1,0,0,0,0,1,0,1,0,0
バード,B,全,M,0,1,0,0,0,0,0,1,0,1,0,0
バナナ・バード,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
ブラック・ベルモット,D,全,G,0,0,0,1,0,0,0,1,0,0,0,1
イエローサンセット,B,全,M,0,1,0,0,0,0,0,1,0,1,0,0
シャンデー・ガフ,C,全,G,0,0,1,0,0,0,0,1,0,0,0,1
レット・アイ,D,全,G,0,0,0,1,0,0,0,1,0,0,0,1
パナシェ,C,全,G,0,0,1,0,0,0,0,1,0,0,0,1
ミント・ビア,C,全,G,0,0,1,0,0,0,0,1,0,0,0,1
メキシカン,C,全,G,0,0,1,0,0,0,0,1,0,0,0,1
ハーフ・アンド・ハーフ,C,全,G,0,0,1,0,0,0,0,1,0,0,0,1
ブラック・アンド・ホワイト,B,全,G,0,1,0,0,0,0,0,1,0,0,0,1
ブラック・ベルベット,C,全,G,0,0,1,0,0,0,0,1,0,0,0,1
ビター・オレンジ,C,全,G,0,0,1,0,0,0,0,1,0,0,0,1
ビア・スプリッツァー,C,全,G,0,0,1,0,0,0,0,1,0,0,0,1
ビア・フィールド,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
ヨコハマ,D,全,S,0,0,0,1,0,0,0,1,1,0,0,0
ホワイト・ローズ,D,全,S,0,0,0,1,0,0,0,1,1,0,0,0
ホワイトレディ,D,全,S,0,0,0,1,0,0,0,1,1,0,0,0
トム・コリンズ,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
タンゴ,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
シルバーフィズ,D,全,S,0,0,0,1,0,0,0,1,1,0,0,0
シンガポールスリング,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
ピンクレディ,B,全,S,0,1,0,0,0,0,0,1,1,0,0,0
パリジャン,C,前,M,0,0,1,0,0,1,0,0,0,1,0,0
パラダイス,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
オレンジ・ブロッサム,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
ネグローニ,D,前,G,0,0,0,1,0,1,0,0,0,0,0,1
