業種名,経営資本対営業利益率,経営資本回転率,売上高対営業利益率,流動比率,商品回転率,売上高対総利益率,販売・管理費比率,売上高対人件費比率
スーパーマーケット,5.5,3.5,1.4,110.8,45.7,24,22.6,12
コンビニエンスストア,5.1,4.8,1.6,196.2,36.5,22.3,20.7,10
織物・衣服,5.9,1.6,3.8,198.6,7.2,37.7,33.9,17
呉服・服地,5.3,1.1,4.4,210.8,4.7,45.5,41.1,20
寝具,5.1,1.5,4.9,214.3,6.8,45.5,40.6,20
男子服,2.8,0.9,4.3,118.4,5.8,42.8,38.5,16
婦人・子供服,8.6,2,3.9,186.4,8.9,36,32.1,19
靴,3.9,1.4,3.4,197.7,6,32.7,29.3,15
履物,7.4,1.3,8.5,302.5,7.3,31.7,23.2,15
洋品雑貨,4.5,1.8,2.8,168.4,5.5,33.7,30.9,15
食料品,12,3.7,3.3,192.5,26.5,24.4,21.1,12
酒,7.5,3.3,2.6,165.4,20.4,19.4,16.8,8
食肉,10.7,2.8,4.8,242.9,52.1,39.9,35.1,22
鮮魚,8.4,3.1,3.7,161.4,71.6,30.7,27,13
野菜果実,17.2,3.7,3.7,226.5,78.8,25.9,22.2,17
菓子・パン,11.3,2,7.2,231.7,63.3,52.2,45,24
米穀類,13.6,2,7.2,179.4,17.4,25.7,18.5,9
料理品,9.3,2.4,2.4,268.6,79.7,52,49.6,27
茶,6,1.6,3.9,157.9,10.5,40.2,36.3,17
自動車,4.2,2.6,1.9,229.9,25.9,30.5,28.6,14
自転車,19.2,2.6,8.8,284.9,12,48,39.2,25
家具,3.4,1.3,2.8,147.2,6,35.4,32.6,17
金物,4.7,1.8,5.2,181.7,10.3,40.5,35.3,19
陶磁器,1,1.2,1.1,141.8,4.4,32.9,31.8,16
家電機器,6.1,2,2.8,143.9,17.6,34.4,31.6,15
医薬品,5.9,2,3.2,223,9.1,31.3,28.1,11
化粧品,9.1,1.7,5.5,202,10.9,39.4,33.9,19
農業機器,2,1.5,1.4,135.6,11.8,26.2,24.8,14
肥料飼料,2.1,1.9,1.1,128.4,21.4,21.9,20.8,10
ガソリンスタンド,4.9,2.6,2.3,230.2,55.9,25,22.7,12
書籍,2.3,2.5,1.4,179.6,15.6,24.2,22.8,12
文房具,5.4,2.1,2.4,158.6,18,27.3,24.9,14
スポーツ用品,6.8,1.6,4.3,197.9,6.5,28.9,24.6,14
娯楽用品,6.5,1.7,3.3,159.8,6.6,36.3,33,11
楽器,2.2,2.4,0.8,88.4,3.9,25.2,24.4,13
写真,10.1,2.2,4,197.2,12.1,51.2,47.2,21
時計,4,1,4,254,2.9,43.5,39.5,17
眼鏡,7.7,1.7,6.1,164.5,5.1,56.7,50.6,32
花・植木,7.7,2.7,2.8,193.1,41,46.7,43.9,25
建築材料,3.4,1.8,2.5,175.8,21.7,25.7,23.2,9
飲食店,13.1,1.8,8.4,197.3,64,62,53.6,35
