,賢い,くさそうな,好きな,かわいらしい,大きな,危険な,素早い,美味しそうな,珍しい
ライオン,0,1,0,0,1,1,1,0,1
ぞう,0,1,0,0,1,1,0,0,1
うし,0,1,0,0,0,0,0,1,0
しまうま,0,1,0,0,0,0,1,0,1
ヒト,1,0,0,0,0,0,0,0,0
チーター,0,1,1,0,0,1,1,0,1
カピバラ,0,1,0,0,0,0,0,0,1
ねずみ,1,1,0,0,0,0,1,0,0
すずめ,0,0,0,1,0,0,0,0,0
からす,1,1,0,0,0,0,0,0,0
りす,0,0,1,1,0,0,0,0,0
さい,0,1,0,0,1,1,0,0,1
ごりら,1,1,0,0,0,1,1,0,1
くじら,0,0,1,0,1,1,0,0,1
わし,0,1,1,0,0,0,1,0,1
むささび,0,1,1,1,0,0,1,0,1
アイアイ,0,0,0,0,0,0,1,0,1
にわとり,0,1,0,0,0,0,0,1,0
ぶた,0,1,0,0,0,0,0,1,0
カエル,0,1,0,0,0,0,0,1,0
カンガルー,0,1,1,0,0,0,0,0,1
オランウータン,1,1,0,0,0,0,0,0,1
モルモット,0,0,0,0,0,0,0,0,0
オオカミ,0,1,1,0,0,1,1,0,1
ペンギン,0,0,1,1,0,0,0,0,1
かば,0,1,0,0,1,0,0,0,1
いのしし,0,1,0,0,0,0,0,1,1
しか,0,0,0,0,0,0,0,1,0
ワニ,0,0,0,0,0,0,0,1,1
うさぎ,0,0,0,1,0,0,0,1,0
ひつじ,0,0,0,0,0,0,0,1,1
きつね,0,0,0,0,0,0,0,0,1
ダチョウ,0,0,0,0,0,0,0,1,1
フラミンゴ,0,0,0,0,0,0,0,0,1
ヤギ,0,1,0,0,0,0,0,1,1
キリン,0,1,0,0,1,0,0,0,1
アザラシ,0,0,0,0,0,0,0,1,1
イグアナ,0,0,0,0,0,0,0,0,1
カメレオン,0,0,0,0,0,0,0,0,1
カメ,0,0,0,0,0,0,0,1,0
さんしょううお,0,0,0,0,0,0,0,0,1
トカゲ,0,0,0,0,0,0,0,0,0
