商品名,奇抜さ,リッチさ,くどさ,おしゃれ度,大人度,和風さ
コーヒーヌガー,5,6,5,6,3,1
アーモンド,2,3,3,4,2,5
ストロベリー,3,3,3,2,2,3
ビス,4,2,4,3,1,2
きなこもち,5,3,4,3,5,6
冬ちょこ,3,5,3,5,4,2
いちごびす,3,4,5,2,1,2
エッグタルト,4,5,6,5,4,3
パイン,3,4,2,4,2,3
バナナ,2,5,5,4,2,3
すいーとぽてと,5,6,6,5,4,3
抹茶,2,4,4,5,5,6
カプチーノ,4,5,3,5,6,2
黒ごまたると,5,5,6,5,6,5
いちごプリン,2,3,5,3,2,2
みるく大福,5,4,6,4,5,5
ミントチョコ,3,4,2,5,5,2
YOGURT,4,5,2,3,2,2
RICE,5,2,3,2,3,5
ナッツクランチ,3,4,3,5,5,2
キャラメル,2,5,6,4,3,2
ライチ,5,5,2,4,5,2
ゆず,5,3,2,5,6,5
ミックスベリー,3,5,2,5,5,2
杏仁豆腐,5,4,5,5,4,4
パンプキンタルト,4,5,6,6,5,3
塩バニラアソート,6,3,3,3,5,5
チーズチョコ,4,5,3,3,5,2
コーン,3,2,3,3,2,2
MILK,2,5,3,3,4,2
ふわふわココア,3,5,6,2,4,3
コーヒーフロート,3,4,3,5,3,2
WINE,5,6,2,4,6,2
みつりんご,3,2,5,3,2,4
レモンケーキ,5,4,3,2,4,2
FLAKE,2,3,2,3,2,2
ピーナッツ,2,4,3,4,3,2
クレメダンジュ,5,5,5,6,5,2
シナモンオレ,3,5,6,5,4,2
エスプレッソ,3,5,3,5,6,1
